func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Single-threaded,2,200,500,0,2.666838,27.356011,27.368718,54.823263,54.868381,2.337485,2.338275
tanh,Single-threaded,2,200,600,0,2.586371,33.169722,33.185217,67.288819,67.345630,2.837747,2.838691
tanh,Single-threaded,2,200,700,0,2.507608,39.139665,39.160793,80.507592,80.584246,3.387943,3.389193
tanh,Single-threaded,2,200,800,0,2.515515,45.191877,45.226061,94.050733,94.166138,3.960374,3.962798
tanh,Single-threaded,2,200,900,0,2.422265,51.412764,51.455702,108.158619,108.304438,4.572288,4.575587
tanh,Single-threaded,2,200,1000,0,2.395279,57.634785,57.681753,122.163296,122.328625,5.176576,5.180085
tanh,Single-threaded,2,256,0,0,4.514735,0.289315,0.289443,0.245509,0.245653,0.015365,0.015366
tanh,Single-threaded,2,256,100,0,3.670548,10.000207,10.004918,25.076400,25.092879,0.873828,0.874013
tanh,Single-threaded,2,256,200,0,3.221864,19.828001,19.839789,50.248251,50.286476,1.746821,1.747485
tanh,Single-threaded,2,256,300,0,2.946267,29.878547,29.903595,76.423574,76.499155,2.691919,2.693543
tanh,Single-threaded,2,256,400,0,2.751094,40.359361,40.398538,104.934167,105.056969,3.831683,3.834146
tanh,Single-threaded,2,256,500,0,2.648449,51.073343,51.124781,134.626628,134.786263,5.034334,5.037494
tanh,Single-threaded,2,256,600,0,2.569278,61.836738,61.902888,164.399685,164.606720,6.279125,6.283717
tanh,Single-threaded,2,256,700,0,2.492015,73.295001,73.369889,195.314091,195.552464,7.643758,7.648601
tanh,Single-threaded,2,256,800,0,2.493232,85.214738,85.298486,227.598879,227.862322,9.094063,9.099195
tanh,Single-threaded,2,256,900,0,2.403491,97.179068,97.279935,259.826939,260.138340,10.565692,10.574977
tanh,Single-threaded,2,256,1000,0,2.373962,109.087229,109.197286,292.110616,292.453884,12.007814,12.017338
tanh,Single-threaded,3,16,0,0,4.545548,0.003247,0.003309,0.001176,0.001203,0.000087,0.000087
tanh,Single-threaded,3,16,100,0,4.422787,0.120579,0.122783,0.120168,0.123722,0.009539,0.009606
tanh,Single-threaded,3,16,200,0,4.177638,0.239122,0.243409,0.240351,0.246922,0.019129,0.019234
tanh,Single-threaded,3,16,300,0,3.927590,0.357246,0.363558,0.358913,0.368212,0.028494,0.028641
tanh,Single-threaded,3,16,400,0,3.657680,0.476115,0.484659,0.477846,0.489972,0.038155,0.038459
tanh,Single-threaded,3,16,500,0,3.424361,0.598038,0.608582,0.598300,0.613063,0.047757,0.048098
tanh,Single-threaded,3,16,600,0,3.251602,0.714980,0.727313,0.714197,0.731398,0.055968,0.056355
tanh,Single-threaded,3,16,700,0,3.137739,0.836058,0.850417,0.834809,0.854660,0.065717,0.066170
tanh,Single-threaded,3,16,800,0,3.123222,0.955122,0.971512,0.953532,0.976135,0.075097,0.075574
tanh,Single-threaded,3,16,900,0,3.030438,1.074474,1.093106,1.072969,1.098305,0.084820,0.085400
tanh,Single-threaded,3,16,1000,0,3.004403,1.194162,1.215268,1.193076,1.221085,0.094353,0.094974
tanh,Single-threaded,3,32,0,0,4.438360,0.010076,0.010132,0.003477,0.003510,0.000395,0.000396
tanh,Single-threaded,3,32,100,0,4.161311,0.336047,0.338352,0.346355,0.349807,0.028253,0.028297
tanh,Single-threaded,3,32,200,0,3.745024,0.662035,0.666544,0.686154,0.693055,0.055853,0.055948
tanh,Single-threaded,3,32,300,0,3.444528,0.986649,0.993410,1.025402,1.035763,0.083335,0.083470
tanh,Single-threaded,3,32,400,0,3.233481,1.311351,1.320434,1.367513,1.381351,0.110125,0.110300
tanh,Single-threaded,3,32,500,0,3.106161,1.647669,1.659196,1.720639,1.737817,0.138361,0.138572
tanh,Single-threaded,3,32,600,0,3.010930,1.984971,1.998782,2.076444,2.097102,0.168563,0.168819
tanh,Single-threaded,3,32,700,0,2.942333,2.311621,2.327562,2.415405,2.439364,0.196869,0.197163
tanh,Single-threaded,3,32,800,0,2.957213,2.637109,2.655178,2.755861,2.783051,0.226116,0.226451
tanh,Single-threaded,3,32,900,0,2.862220,2.963424,2.983725,3.095654,3.126242,0.253291,0.253661
tanh,Single-threaded,3,32,1000,0,2.829625,3.290666,3.313339,3.436718,3.470623,0.281366,0.281795
tanh,Single-threaded,3,64,0,0,4.565623,0.032502,0.032595,0.013309,0.013339,0.001148,0.001149
tanh,Single-threaded,3,64,100,0,3.959230,1.114732,1.117412,1.293094,1.297097,0.113804,0.113924
tanh,Single-threaded,3,64,200,0,3.438250,2.210454,2.215776,2.597136,2.605327,0.225967,0.226221
tanh,Single-threaded,3,64,300,0,3.175784,3.305760,3.314046,3.879435,3.891629,0.332120,0.332463
tanh,Single-threaded,3,64,400,0,3.010266,4.408489,4.419258,5.163786,5.179911,0.438800,0.439224
tanh,Single-threaded,3,64,500,0,2.897630,5.504949,5.518324,6.451172,6.471512,0.556039,0.556556
tanh,Single-threaded,3,64,600,0,2.791058,6.592230,6.608285,7.732513,7.757021,0.665472,0.666089
tanh,Single-threaded,3,64,700,0,2.703513,7.679239,7.697869,9.008897,9.037353,0.769370,0.770080
tanh,Single-threaded,3,64,800,0,2.705173,8.770872,8.792071,10.286548,10.319194,0.879517,0.880317
tanh,Single-threaded,3,64,900,0,2.608293,9.914814,9.938944,11.667407,11.704327,1.018140,1.019044
tanh,Single-threaded,3,64,1000,0,2.584126,11.018754,11.045510,12.982770,13.023942,1.142281,1.143279
tanh,Single-threaded,3,100,0,0,4.581171,0.084102,0.084177,0.043089,0.043168,0.004592,0.004593
tanh,Single-threaded,3,100,100,0,3.841048,2.702270,2.705195,3.566427,3.572604,0.244303,0.244430
tanh,Single-threaded,3,100,200,0,3.356663,5.148190,5.154072,6.406398,6.416903,0.432879,0.433123
tanh,Single-threaded,3,100,300,0,3.105480,7.695353,7.704041,9.427561,9.443034,0.635784,0.636138
tanh,Single-threaded,3,100,400,0,2.915956,10.139684,10.150867,12.265242,12.284779,0.824948,0.825400
tanh,Single-threaded,3,100,500,0,2.783758,12.592418,12.606436,15.126562,15.150118,1.012364,1.012927
tanh,Single-threaded,3,100,600,0,2.678652,15.045013,15.061609,17.975166,18.002623,1.199529,1.200189
tanh,Single-threaded,3,100,700,0,2.588224,17.510838,17.529966,20.813058,20.844462,1.385608,1.386391
tanh,Single-threaded,3,100,800,0,2.589960,19.983728,20.005401,23.674746,23.710088,1.571106,1.571988
tanh,Single-threaded,3,100,900,0,2.495476,22.461464,22.485710,26.703506,26.743343,1.761789,1.762787
tanh,Single-threaded,3,100,1000,0,2.469425,24.949707,24.976461,29.717283,29.761400,1.951769,1.952876
tanh,Single-threaded,3,128,0,0,4.482324,0.115755,0.115820,0.064086,0.064162,0.006079,0.006080
tanh,Single-threaded,3,128,100,0,3.730121,4.110692,4.113970,6.563013,6.571011,0.319654,0.319801
tanh,Single-threaded,3,128,200,0,3.260793,8.200813,8.207152,13.769651,13.791124,0.658002,0.658284
tanh,Single-threaded,3,128,300,0,2.968115,12.289485,12.298555,20.847819,20.880435,0.989640,0.990061
tanh,Single-threaded,3,128,400,0,2.764071,16.386976,16.398805,27.979148,28.022789,1.324376,1.324973
tanh,Single-threaded,3,128,500,0,2.656606,20.487883,20.502745,35.225647,35.280966,1.661558,1.662405
tanh,Single-threaded,3,128,600,0,2.568167,24.660281,24.678289,42.559466,42.627285,2.019674,2.020674
tanh,Single-threaded,3,128,700,0,2.495351,28.900205,28.921167,50.284177,50.365710,2.399046,2.400205
tanh,Single-threaded,3,128,800,0,2.500560,33.122360,33.146409,57.910492,58.005766,2.767854,2.769163
tanh,Single-threaded,3,128,900,0,2.405341,37.364191,37.391399,65.569840,65.678862,3.149934,3.151398
tanh,Single-threaded,3,128,1000,0,2.386539,41.606242,41.636706,73.366998,73.492244,3.528134,3.529806
tanh,Single-threaded,3,200,0,0,4.700683,0.309797,0.310202,0.225824,0.226055,0.018980,0.018981
tanh,Single-threaded,3,200,100,0,3.753293,11.402202,11.410560,25.013207,25.039818,1.231379,1.231716
tanh,Single-threaded,3,200,200,0,3.273997,23.016905,23.037065,51.183394,51.239995,2.558495,2.562695
tanh,Single-threaded,3,200,300,0,2.991966,34.693578,34.731202,77.703612,77.793949,3.894023,3.898482
tanh,Single-threaded,3,200,400,0,2.767718,46.374094,46.419054,104.067026,104.183963,5.221206,5.225923
tanh,Single-threaded,3,200,500,0,2.638958,58.024948,58.078147,130.392684,130.539386,6.567820,6.572925
tanh,Single-threaded,3,200,600,0,2.538971,69.719641,69.781679,156.867744,157.059484,7.901362,7.906940
tanh,Single-threaded,3,200,700,0,2.461176,82.413176,82.496312,182.297595,182.535025,9.322984,9.328882
tanh,Single-threaded,3,200,800,0,2.458386,95.206057,95.303140,207.707055,207.974577,10.734977,10.741219
tanh,Single-threaded,3,200,900,0,2.353852,108.056918,108.164666,233.663969,233.962582,12.198029,12.204596
tanh,Single-threaded,3,200,1000,0,2.330780,120.881083,120.998614,259.368300,259.696790,13.648306,13.655271
tanh,Single-threaded,3,256,0,0,4.396191,0.608752,0.609062,0.519577,0.519870,0.036574,0.036577
tanh,Single-threaded,3,256,100,0,3.617786,21.559805,21.571042,52.252190,52.283813,2.561765,2.562114
tanh,Single-threaded,3,256,200,0,3.176623,42.555063,42.579440,103.869626,103.935694,5.061484,5.062258
tanh,Single-threaded,3,256,300,0,2.892286,63.535772,63.582088,155.639958,155.748751,7.546003,7.547068
tanh,Single-threaded,3,256,400,0,2.702096,80.257405,80.307918,195.435977,195.563677,8.996298,8.997561
tanh,Single-threaded,3,256,500,0,2.602113,97.149155,97.204863,236.191277,236.340932,10.556303,10.557859
tanh,Single-threaded,3,256,600,0,2.513122,114.270392,114.333958,279.378082,279.554408,12.292846,12.294649
tanh,Single-threaded,3,256,700,0,2.433561,131.670269,131.741233,324.209285,324.416038,14.219104,14.221191
tanh,Single-threaded,3,256,800,0,2.437648,149.722164,149.801622,370.965676,371.201954,16.291180,16.293586
tanh,Single-threaded,3,256,900,0,2.333217,169.731033,169.820567,421.304035,421.571992,18.709643,18.712365
tanh,Single-threaded,3,256,1000,0,2.302692,189.746595,189.846085,471.983762,472.282778,21.155231,21.158451
tanh,Single-threaded,4,16,0,0,4.667103,0.004397,0.004470,0.001449,0.001479,0.000158,0.000159
tanh,Single-threaded,4,16,100,0,4.350329,0.141337,0.143400,0.142446,0.145391,0.011216,0.011257
tanh,Single-threaded,4,16,200,0,4.018758,0.280150,0.284330,0.283877,0.289785,0.022507,0.022589
tanh,Single-threaded,4,16,300,0,3.764499,0.419242,0.425341,0.422511,0.431318,0.033544,0.033654
