func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Multi-threaded,2,200,400,0,2.777355,9.019509,16.269448,15.655209,34.805444,1.196810,2.531720
tanh,Multi-threaded,2,200,500,0,2.669060,11.224726,20.261374,19.297708,42.845587,1.468733,3.124540
tanh,Multi-threaded,2,200,600,0,2.582294,13.435124,24.264129,22.930435,50.898264,1.760241,3.737031
tanh,Multi-threaded,2,200,700,0,2.505965,15.653818,28.254325,26.477964,58.707047,1.979220,4.325868
tanh,Multi-threaded,2,200,800,0,2.511829,17.990608,32.417127,30.917074,68.797320,2.366442,5.024781
tanh,Multi-threaded,2,200,900,0,2.416359,20.225256,36.436308,34.843201,77.526475,2.707097,5.651075
tanh,Multi-threaded,2,200,1000,0,2.386417,22.470934,40.436281,38.555220,85.718509,3.003404,6.279475
tanh,Multi-threaded,2,256,0,0,4.440337,0.079753,0.164667,0.052848,0.146906,0.007908,0.010697
tanh,Multi-threaded,2,256,100,0,3.640693,2.730851,5.537683,5.882525,16.006864,0.983005,1.171276
tanh,Multi-threaded,2,256,200,0,3.190148,5.419319,10.987225,12.081904,32.387775,1.969098,2.334410
tanh,Multi-threaded,2,256,300,0,2.930134,8.156455,16.481017,18.148494,48.260484,2.909784,3.489985
tanh,Multi-threaded,2,256,400,0,2.742198,10.759860,21.815961,23.521347,63.121581,3.802022,4.563533
tanh,Multi-threaded,2,256,500,0,2.635897,13.362000,27.141523,28.949352,77.962394,4.614446,5.636349
tanh,Multi-threaded,2,256,600,0,2.556666,15.960927,32.430936,34.300843,92.596821,5.530648,6.717090
tanh,Multi-threaded,2,256,700,0,2.478589,18.551526,37.755761,39.534302,107.199971,6.371733,7.790127
tanh,Multi-threaded,2,256,800,0,2.475675,21.141746,43.074071,44.826745,121.788858,7.298327,8.866041
tanh,Multi-threaded,2,256,900,0,2.383488,23.733704,48.383261,50.192106,136.482398,8.156179,9.952168
tanh,Multi-threaded,2,256,1000,0,2.356456,26.322276,53.692535,55.535878,151.136507,9.070022,11.029248
tanh,Multi-threaded,3,16,0,0,4.535058,0.067287,0.095443,0.022439,0.031032,0.000654,0.000406
tanh,Multi-threaded,3,16,100,0,4.387540,2.208045,3.032471,2.127750,2.931426,0.058723,0.037784
tanh,Multi-threaded,3,16,200,0,4.055322,4.357918,6.009857,4.246545,5.855062,0.116570,0.075780
tanh,Multi-threaded,3,16,300,0,3.764054,6.506370,8.987945,6.348393,8.761581,0.176243,0.115700
tanh,Multi-threaded,3,16,400,0,3.540853,8.657378,11.944146,8.458859,11.661048,0.236251,0.153447
tanh,Multi-threaded,3,16,500,0,3.378571,10.795919,14.882831,10.554335,14.526337,0.294546,0.190721
tanh,Multi-threaded,3,16,600,0,3.250476,12.925770,17.816312,12.641328,17.390970,0.352864,0.229309
tanh,Multi-threaded,3,16,700,0,3.161849,15.123845,20.846937,14.802491,20.380980,0.412120,0.267532
tanh,Multi-threaded,3,16,800,0,3.153444,17.256769,23.780397,16.890560,23.241288,0.469845,0.305018
tanh,Multi-threaded,3,16,900,0,3.061504,19.400403,26.729074,19.002324,26.140742,0.528232,0.341692
tanh,Multi-threaded,3,16,1000,0,3.034239,21.540635,29.670374,21.112298,29.036480,0.584329,0.378624
tanh,Multi-threaded,3,32,0,0,4.478360,0.066263,0.094390,0.021459,0.029477,0.000673,0.000422
tanh,Multi-threaded,3,32,100,0,4.120376,2.243126,3.120400,2.201877,3.055542,0.064431,0.040803
tanh,Multi-threaded,3,32,200,0,3.667382,4.420433,6.149959,4.390519,6.100860,0.125461,0.079077
tanh,Multi-threaded,3,32,300,0,3.392759,6.603361,9.175301,6.586013,9.154031,0.189932,0.117889
tanh,Multi-threaded,3,32,400,0,3.212001,8.785009,12.209645,8.777365,12.198551,0.252367,0.156019
tanh,Multi-threaded,3,32,500,0,3.104558,10.956978,15.234737,10.965948,15.236135,0.314822,0.193587
tanh,Multi-threaded,3,32,600,0,3.024543,13.143223,18.266177,13.162400,18.300806,0.378173,0.232325
tanh,Multi-threaded,3,32,700,0,2.963625,15.326406,21.304499,15.360295,21.351196,0.441325,0.272154
tanh,Multi-threaded,3,32,800,0,2.984695,17.508473,24.333975,17.540536,24.373513,0.508972,0.314094
tanh,Multi-threaded,3,32,900,0,2.903255,19.691010,27.377177,19.726402,27.406765,0.567760,0.351563
tanh,Multi-threaded,3,32,1000,0,2.880443,21.863342,30.401723,21.911560,30.442383,0.631088,0.390810
tanh,Multi-threaded,3,64,0,0,4.509524,0.070590,0.104125,0.024945,0.035828,0.000500,0.000783
tanh,Multi-threaded,3,64,100,0,3.942467,2.357999,3.405548,2.437823,3.503579,0.076520,0.065058
tanh,Multi-threaded,3,64,200,0,3.436203,4.651607,6.694698,4.856729,6.951589,0.150775,0.129473
tanh,Multi-threaded,3,64,300,0,3.186031,6.916385,9.954054,7.247981,10.400906,0.226151,0.198877
tanh,Multi-threaded,3,64,400,0,3.014404,9.187877,13.214635,9.653497,13.863033,0.295100,0.265549
tanh,Multi-threaded,3,64,500,0,2.878373,11.468744,16.495660,12.071741,17.328082,0.368608,0.330181
tanh,Multi-threaded,3,64,600,0,2.764366,13.760655,19.795248,14.496095,20.826150,0.439453,0.396151
tanh,Multi-threaded,3,64,700,0,2.671480,16.050602,23.093172,16.916521,24.299747,0.510816,0.460052
tanh,Multi-threaded,3,64,800,0,2.681973,18.343458,26.384426,19.345205,27.776249,0.585812,0.523757
tanh,Multi-threaded,3,64,900,0,2.582974,20.634238,29.689326,21.787042,31.297149,0.659185,0.585692
tanh,Multi-threaded,3,64,1000,0,2.558125,22.808433,32.842950,24.088117,34.619732,0.720956,0.636229
tanh,Multi-threaded,3,100,0,0,4.428231,0.072918,0.106452,0.027044,0.040855,0.000669,0.002032
tanh,Multi-threaded,3,100,100,0,3.720471,2.411300,3.386173,2.645217,4.034049,0.079439,0.141259
tanh,Multi-threaded,3,100,200,0,3.300584,4.757569,6.686797,5.269796,8.041618,0.153656,0.281497
tanh,Multi-threaded,3,100,300,0,3.065736,7.111652,10.000441,7.919907,12.111641,0.226325,0.419595
tanh,Multi-threaded,3,100,400,0,2.877617,9.479822,13.320778,10.635986,16.296035,0.311673,0.576251
tanh,Multi-threaded,3,100,500,0,2.753406,11.831887,16.609965,13.369213,20.499136,0.392532,0.727784
tanh,Multi-threaded,3,100,600,0,2.652153,14.220408,19.964693,16.108908,24.694091,0.468278,0.877747
tanh,Multi-threaded,3,100,700,0,2.569725,16.598999,23.300475,18.848830,28.887884,0.549754,1.028782
tanh,Multi-threaded,3,100,800,0,2.575815,18.963529,26.620439,21.546619,33.028557,0.656055,1.180589
tanh,Multi-threaded,3,100,900,0,2.476347,21.335950,29.941064,24.278957,37.201927,0.752740,1.328385
tanh,Multi-threaded,3,100,1000,0,2.449448,23.703583,33.246798,26.979055,41.340033,0.835144,1.478717
tanh,Multi-threaded,3,128,0,0,4.550190,0.087185,0.137083,0.031885,0.054655,0.003035,0.002830
tanh,Multi-threaded,3,128,100,0,3.775000,2.715442,4.236166,3.319171,5.650399,0.308895,0.304716
tanh,Multi-threaded,3,128,200,0,3.318563,5.356399,8.361865,6.636996,11.296528,0.587817,0.613528
tanh,Multi-threaded,3,128,300,0,3.050316,8.012543,12.488491,9.970174,16.993581,0.815849,0.917891
tanh,Multi-threaded,3,128,400,0,2.836594,10.651550,16.581094,13.275323,22.631560,0.986704,1.215641
tanh,Multi-threaded,3,128,500,0,2.709821,13.304854,20.682177,16.572638,28.224321,1.168059,1.525362
tanh,Multi-threaded,3,128,600,0,2.617629,15.952658,24.755290,19.886735,33.860426,1.320473,1.817305
tanh,Multi-threaded,3,128,700,0,2.542923,18.593692,28.830969,23.204664,39.518470,1.514849,2.117943
tanh,Multi-threaded,3,128,800,0,2.543963,21.228074,32.903843,26.514872,45.152543,1.724563,2.419927
tanh,Multi-threaded,3,128,900,0,2.446907,23.856604,36.978925,29.857059,50.857387,1.933323,2.727236
tanh,Multi-threaded,3,128,1000,0,2.416495,26.489037,41.048622,33.202071,56.550247,2.099463,3.019117
tanh,Multi-threaded,3,200,0,0,4.608830,0.103855,0.189924,0.062039,0.155475,0.011072,0.010166
tanh,Multi-threaded,3,200,100,0,3.705841,3.538395,6.422684,6.548600,16.228462,1.446211,0.981658
tanh,Multi-threaded,3,200,200,0,3.224980,7.011137,12.748186,13.466320,32.929572,3.044074,1.988268
tanh,Multi-threaded,3,200,300,0,2.952955,10.599394,19.299011,20.379707,49.790906,4.767419,3.022210
tanh,Multi-threaded,3,200,400,0,2.748215,14.391759,26.226085,28.288912,69.066929,6.499538,4.166030
tanh,Multi-threaded,3,200,500,0,2.639371,18.057431,32.869221,35.645513,86.945785,8.307627,5.228666
tanh,Multi-threaded,3,200,600,0,2.551696,21.538210,39.194485,42.266464,103.128860,9.939800,6.220263
tanh,Multi-threaded,3,200,700,0,2.474650,24.992650,45.476541,48.685661,118.833227,11.286892,7.220976
tanh,Multi-threaded,3,200,800,0,2.474788,28.445116,51.745899,55.068758,134.438249,12.654098,8.193810
tanh,Multi-threaded,3,200,900,0,2.377639,31.914346,58.033660,61.499316,150.181280,14.102171,9.167606
tanh,Multi-threaded,3,200,1000,0,2.342331,35.383573,64.322034,68.030945,166.231261,15.426952,10.118701
tanh,Multi-threaded,3,256,0,0,4.600299,0.128550,0.268184,0.113769,0.309483,0.044823,0.018431
tanh,Multi-threaded,3,256,100,0,3.696299,4.985048,10.303620,12.835337,33.888477,5.489320,1.997682
tanh,Multi-threaded,3,256,200,0,3.226324,9.759830,20.133383,25.234450,66.676297,10.855553,4.007825
tanh,Multi-threaded,3,256,300,0,2.941796,14.083678,28.993089,35.707318,95.667179,15.904453,5.812705
tanh,Multi-threaded,3,256,400,0,2.719826,18.352750,37.816335,45.697917,123.608424,20.372977,7.553641
tanh,Multi-threaded,3,256,500,0,2.597981,22.647184,46.673487,55.568825,151.471523,24.882978,9.311362
